1,15,512,70,11,841,12
2,103,1756,26,12,1615,19
3,148,642,23,7,523,7
4,105,61,31,12,1958,2
5,98,222,41,10,1777,4
6,95,1930,47,1,809,12
7,172,1771,68,6,109,7
8,31,1389,4,2,752,6
9,133,1390,18,9,442,14
10,182,1818,40,11,466,12
11,119,735,91,9,666,11
12,154,896,63,10,623,17
13,145,984,1,11,1464,9
14,5,330,96,5,1095,14
15,178,1559,85,5,720,3
16,164,355,16,12,1773,7
17,88,1514,53,9,1180,10
18,155,99,63,9,1073,16
19,10,156,24,3,1074,11
20,150,199,8,5,179,7
21,91,550,18,6,1216,1
22,87,963,33,3,220,12
23,159,44,37,1,181,16
24,165,1035,75,8,1016,1
25,176,713,38,11,167,2
26,128,391,80,12,1348,3
27,191,568,94,2,524,9
28,57,634,73,6,1217,13
29,177,349,35,8,168,1
30,126,1567,29,9,1106,2
31,54,1882,43,11,919,18
32,97,1762,21,2,1796,9
33,139,1178,44,9,1231,6
34,63,947,40,6,414,16
35,42,683,100,7,43,9
36,174,1714,10,11,1382,10
37,127,1863,65,6,1505,4
38,123,1593,97,2,1334,20
39,198,1034,37,11,16,7
40,56,784,40,3,227,10
41,38,469,65,2,165,10
42,43,1819,75,7,137,4
43,50,256,32,3,1319,8
44,114,1979,96,4,1827,11
45,100,1003,34,3,1429,3
46,33,141,9,1,1543,10
47,138,53,2,9,597,17
48,112,201,55,12,1537,20
49,151,173,82,6,1318,19
50,3,333,1,2,1170,4
