1	1
2	2
1	3
2	4
2	5
1	6
1	7
1	8
1	9
2	10
3	11
3	12
1	13
3	14
1	15
2	16
2	17
1	18
2	19
3	20
2	21
3	22
1	23
3	24
2	25
3	26
2	27
1	28
3	29
1	30
2	31
3	32
2	33
1	34
3	35
2	36
3	37
2	38
3	39
1	40
3	41
3	42
3	43
3	44
1	45
1	46
2	47
1	48
2	49
1	50
2	51
3	52
3	53
1	54
1	55
1	56
2	57
1	58
3	59
1	60
1	61
1	62
1	63
3	64
3	65
2	66
2	67
1	68
1	69
2	70
1	71
1	72
2	73
1	74
2	75
2	76
2	77
3	78
1	79
3	80
1	81
2	82
2	83
1	84
3	85
3	86
3	87
1	88
1	89
3	90
2	91
2	92
2	93
2	94
2	95
2	96
1	97
1	98
2	99
3	100
2	101
3	102
2	103
3	104
1	105
1	106
3	107
1	108
1	109
3	110
3	111
2	112
1	113
1	114
1	115
2	116
2	117
3	118
3	119
2	120
1	121
1	122
3	123
3	124
1	125
3	126
3	127
3	128
3	129
1	130
3	131
3	132
3	133
3	134
1	135
1	136
2	137
1	138
3	139
3	140
2	141
1	142
2	143
2	144
1	145
3	146
2	147
1	148
3	149
3	150
1	151
3	152
3	153
2	154
2	155
1	156
1	157
3	158
3	159
1	160
2	161
2	162
1	163
1	164
1	165
2	166
2	167
3	168
3	169
3	170
1	171
3	172
3	173
3	174
2	175
3	176
2	177
1	178
2	179
1	180
1	181
2	182
2	183
1	184
2	185
3	186
2	187
3	188
3	189
1	190
3	191
3	192
3	193
2	194
3	195
2	196
2	197
2	198
1	199
2	200
