433901586,free room upgrade,3
167437573,welcome drink,1
442483917,free room upgrade,1
625976552,spa voucher,3
778010370,free parking,2
427347523,spa voucher,3
415534228,spa voucher,2
547475731,room with a view,2
394626947,free room upgrade,3
883728759,room with a view,1
567579979,complimentary breakfast,1
195220865,discounted room service,2
291274172,late checkout,3
488553848,welcome drink,3
609343926,free room upgrade,3
846481463,complimentary breakfast,3
663394835,welcome drink,1
564951899,discounted room service,1
663832968,discounted room service,2
608541609,free parking,3
413769618,room with a view,2
902110266,free room upgrade,3
809164243,free parking,3
744335917,room with a view,3
103692990,complimentary breakfast,3
563797260,free parking,2
513359974,free parking,3
641121615,discounted room service,2
725536050,complimentary breakfast,3
173799148,complimentary breakfast,2
996703529,free room upgrade,3
544546649,free parking,1
263129927,free parking,3
489749590,complimentary breakfast,1
735089951,free parking,1
772911841,discounted room service,3
390064657,complimentary breakfast,3
293164871,discounted room service,2
747035766,spa voucher,1
4737076,room with a view,3
381295190,free parking,2
783063723,room with a view,3
733129977,late checkout,2
885262719,free room upgrade,3
189872385,free room upgrade,2
105006272,free room upgrade,1
829070723,welcome drink,1
29031520,complimentary breakfast,3
744207326,room with a view,3
592562885,room with a view,3
